slug,subdomain,custom_domain,name,site,logo,place_id,primary_color,secondary_color
campbell-air-conditioning,,,Campbell Air Conditioning,https://www.campbell-hvac.com/,https://lh6.googleusercontent.com/-tLmKXUN-hN0/AAAAAAAAAAI/AAAAAAAAAAA/vCmzvZLXgr0/s44-p-k-no-ns-nd/photo.jpg,ChIJJ_l2mnmviYgRoSZEukFYTbc,#e3e2ee,#2b3163
casper-heating-and-cooling,,,Casper Heating and Cooling,https://www.casper-hvac.com/,https://lh5.googleusercontent.com/-WXqSY0xB0ho/AAAAAAAAAAI/AAAAAAAAAAA/WSJoJeCupS4/s44-p-k-no-ns-nd/photo.jpg,ChIJwzVreMhhgCkRf_aD4ureIVo,#2a4977,#c73b33
cavalry-climate,,,Cavalry Climate,,https://lh5.googleusercontent.com/-WOnZZR_lPrA/AAAAAAAAAAI/AAAAAAAAAAA/dO4Dh_sE1zk/s44-p-k-no-ns-nd/photo.jpg,ChIJ2_x53hvaS4cR5t3aKqOSmq0,#e7e9e6,#464a49
central-mechanical,,,Central Mechanical,,https://lh5.googleusercontent.com/-QvIgoyxmM40/AAAAAAAAAAI/AAAAAAAAAAA/h9PvThrVgpk/s44-p-k-no-ns-nd/photo.jpg,ChIJ2WealLwCSQARtBz8KttK8rs,Error,Error
channell-comfort-cooling-heating-llc,,,Channell Comfort Cooling & Heating LLC,https://www.facebook.com/channellcomfortcoolingandheating/,https://lh5.googleusercontent.com/-o-WbrzkF9K8/AAAAAAAAAAI/AAAAAAAAAAA/1wti_lm7LMw/s44-p-k-no-ns-nd/photo.jpg,ChIJRbdhQXB1jIgR9LgI9hoTIjE,#f2ecec,#46538e
childers-heating-cooling,,,Childers Heating & Cooling,http://childersheatingandcooling.com/,https://lh3.googleusercontent.com/-KSnYGVxjpaI/AAAAAAAAAAI/AAAAAAAAAAA/XhLyMTL8M3s/s44-p-k-no-ns-nd/photo.jpg,ChIJ82WYbmsmiYgR7o63JJKJA6A,#eae9ee,#35335b
climate-heating-cooling,,,Climate Heating & Cooling,http://callclimate.biz/,https://lh3.googleusercontent.com/-IROws34zU-M/AAAAAAAAAAI/AAAAAAAAAAA/g8gwurcPrYs/s44-p-k-no-ns-nd/photo.jpg,ChIJA3peGvfJiYgRZt1w6G2sFnA,#e4e5e6,#262626
comfort-ac,,,Comfort A/C,https://www.mycomfortac.com/,https://lh5.googleusercontent.com/-6LCZe23dMSA/AAAAAAAAAAI/AAAAAAAAAAA/1KKOH9c-IkE/s44-p-k-no-ns-nd/photo.jpg,ChIJtYumnnVFiogRngKJ5_HZVVA,#33a9d2,#edfafa
comforttech-heating-air-conditioning-llc,,,ComfortTech Heating & Air Conditioning LLC,http://comforttechair.com/,https://lh4.googleusercontent.com/-9AIdSaU71m0/AAAAAAAAAAI/AAAAAAAAAAA/dGvc8qm5W6U/s44-p-k-no-ns-nd/photo.jpg,ChIJIbIT0IQri4gRCjeO0ogsJag,Error,Error
controlled-climate-solutions,,,Controlled Climate Solutions,,https://lh6.googleusercontent.com/-f1h79bOVWGI/AAAAAAAAAAI/AAAAAAAAAAA/n0ZGRipNLr8/s44-p-k-no-ns-nd/photo.jpg,ChIJcVIp3IKDYogRdXt-khACzjU,#f1eaec,#46669d
darden-green-co-inc,,,Darden-Green Co Inc,https://dardengreen.com/,https://lh6.googleusercontent.com/-ejrjIiwW09Y/AAAAAAAAAAI/AAAAAAAAAAA/7rkzv9S7sCI/s44-p-k-no-ns-nd/photo.jpg,ChIJoa0WmVEJiYgRtVz23h-tAOA,Error,Error
dawson-true-heating-cooling-llc,,,Dawson True Heating & Cooling LLC.,https://www.dawsontruehvac.com/,https://lh5.googleusercontent.com/-9WCN48cT6FI/AAAAAAAAAAI/AAAAAAAAAAA/gqoVqU5OkjU/s44-p-k-no-ns-nd/photo.jpg,ChIJJZvOcbEPiYgR-bL5SbWegW0,#edf3e9,#4d7653
day-one-service,,,Day One Service,,https://lh6.googleusercontent.com/-HhnM_UHO9Uw/AAAAAAAAAAI/AAAAAAAAAAA/Hw8d5tzSDrg/s44-p-k-no-ns-nd/photo.jpg,ChIJGRPpDeBK8osRSUpaV2ermog,#0d1f2a,#b74c2d
dependable-air,,,Dependable Air,https://bit.ly/dependableairllc,https://lh6.googleusercontent.com/-Xcz81ePOZnQ/AAAAAAAAAAI/AAAAAAAAAAA/WL_AdzdBr-g/s44-p-k-no-ns-nd/photo.jpg,ChIJlxxiBUktAGwRqkIu_GniJuw,#061222,#c0a090
dickerson-services,,,Dickerson Services,https://www.dickersonservices.com/,https://lh3.googleusercontent.com/-GF95XlwAtqM/AAAAAAAAAAI/AAAAAAAAAAA/9Gt5gInzSKM/s44-p-k-no-ns-nd/photo.jpg,ChIJOWnz4F_3iYgRiX9Rg_lOyYE,#0d0d0d,#747474
dkmd-hvac-maintenance-llc,,,Dkmd Hvac & Maintenance LLC,http://www.dkmdhvac.com/,https://lh5.googleusercontent.com/-Z_q3rf8nGRU/AAAAAAAAAAI/AAAAAAAAAAA/bs2WFtFZdYI/s44-p-k-no-ns-nd/photo.jpg,ChIJd9lrrBNB-iQRFbu3dIRfCjc,#eee9e6,#3f5067
doctor-cool-heating-and-air-conditioning,,,Doctor Cool Heating and Air Conditioning,http://doctorcoolbham.com/,https://lh5.googleusercontent.com/-qJy3hUXavL4/AAAAAAAAAAI/AAAAAAAAAAA/XMb8vgfOJwA/s44-p-k-no-ns-nd/photo.jpg,ChIJZ2kCbq0jiYgR1YZELNDW8UQ,#75706a,#cac3ba
dutton-electrical-air-conditioning-service,,,Dutton Electrical & Air Conditioning Service,,https://lh6.googleusercontent.com/-5JgJ---Tf4c/AAAAAAAAAAI/AAAAAAAAAAA/-goqX7mQ6bI/s44-p-k-no-ns-nd/photo.jpg,ChIJ2-4TUS_ViYgRTmPP-uQPU9U,Error,Error
dye-service-hvac,,,Dye Service HVAC,https://dyehvac.com/,https://lh4.googleusercontent.com/-I0fJpL48jJc/AAAAAAAAAAI/AAAAAAAAAAA/4Cm9TubVXQk/s44-p-k-no-ns-nd/photo.jpg,ChIJy0lrkNrBiYgRV9UytEey_9k,#e9edef,#9f2a2c
elevation-heating-and-air,,,Elevation Heating and Air,http://www.elevationheatandair.com/,https://lh4.googleusercontent.com/-Dxin2Bt2bi4/AAAAAAAAAAI/AAAAAAAAAAA/fzUwd5PGyQk/s44-p-k-no-ns-nd/photo.jpg,ChIJkcVN0pl2vUIRevchthJ6xzk,#d9d9d9,#0e0e0e
